ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
162001,GENTIVA HEALTH SERVICES,2012,2011.0,for_profit,government,4.0,10,0,0,1
162001,,2013,2012.0,government,for_profit,10.0,4,0,0,1
164005,,2012,2011.0,government,non_profit,10.0,2,0,0,1
164005,,2014,2013.0,non_profit,government,2.0,10,0,0,1
170009,SAINT JOHN HOSPITAL,2013,2012.0,non_profit,for_profit,1.0,4,1,1,0
170016,UNIVERSITY OF KANSAS HLTH SYSTEM ST FRANCIS CAMPUS,2018,2017.0,non_profit,for_profit,1.0,4,0,1,0
170109,MIAMI COUNTY MEDICAL CENTER,2018,2017.0,for_profit,non_profit,6.0,2,0,0,1
170146,PROVIDENCE MEDICAL CENTER,2013,2012.0,non_profit,for_profit,1.0,4,1,1,0
170194,DOCTORS HOSPITAL LLC,2013,2012.0,non_profit,for_profit,2.0,6,0,0,1
170201,,2012,2011.0,non_profit,for_profit,1.0,4,0,0,1
171372,SCOTT COUNTY HOSPITAL,2014,2013.0,non_profit,government,2.0,9,0,0,1
171373,ALLEN COUNTY REGIONAL HOSPITAL,2013,2012.0,for_profit,government,4.0,9,0,0,1
172005,,2012,2011.0,for_profit,government,4.0,10,0,0,1
172005,,2019,2018.0,government,for_profit,10.0,4,0,0,1
180038,OWENSBORO HEALTH REGIONAL HOSPITAL,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,2018,2017.0,for_profit,non_profit,6.0,2,0,0,1
180053,FLEMING COUNTY HOSPITAL,2015,2014.0,government,for_profit,9.0,4,0,0,1
180105,MONROE COUNTY MEDICAL CENTER,2016,2015.0,for_profit,non_profit,6.0,2,0,0,1
181310,CARROLL COUNTY MEMORIAL HOSPITAL,2013,2012.0,for_profit,non_profit,4.0,2,0,0,1
181310,CARROLL COUNTY MEMORIAL HOSPITAL,2015,2014.0,non_profit,for_profit,2.0,4,0,0,1
181310,CARROLL COUNTY MEMORIAL HOSPITAL,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
181310,CARROLL COUNTY MEMORIAL HOSPITAL,2017,2016.0,non_profit,for_profit,2.0,4,0,0,1
181325,JANE TODD CRAWFORD HOSPITAL,2017,2016.0,non_profit,government,2.0,9,0,0,1
181328,BARBOURVILLE ARH HOSPITAL,2016,2015.0,government,non_profit,9.0,2,0,0,1
182003,,2012,2011.0,government,for_profit,10.0,4,0,0,1
182004,,2012,2011.0,non_profit,for_profit,2.0,4,0,0,1
182006,,2014,2013.0,for_profit,non_profit,4.0,2,0,0,1
183026,,2015,2014.0,non_profit,for_profit,2.0,4,0,0,1
183300,,2015,2014.0,non_profit,for_profit,2.0,5,0,0,1
183300,,2016,2015.0,for_profit,non_profit,5.0,2,0,0,1
183300,,2017,2016.0,non_profit,for_profit,2.0,5,0,0,1
184013,,2014,2013.0,for_profit,non_profit,5.0,3,0,0,1
184013,,2015,2014.0,non_profit,for_profit,3.0,4,0,0,1
184017,,2012,2011.0,non_profit,for_profit,2.0,4,0,0,1
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2015,2014.0,government,non_profit,10.0,2,0,1,0
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2016,2015.0,non_profit,for_profit,2.0,4,0,1,0
190005,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2018,2017.0,for_profit,non_profit,4.0,2,0,1,0
190006,UNIVERSITY HOSPITAL & CLINICS,2013,2012.0,government,non_profit,10.0,2,0,1,0
190011,UNIVERSITY HEALTH CONWAY,2014,2013.0,government,for_profit,10.0,4,0,1,0
190011,UNIVERSITY HEALTH CONWAY,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
190088,SPRINGHILL MEDICAL CENTER,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
190098,UNIVERSITY HEALTH SHREVEPORT,2014,2013.0,government,for_profit,10.0,4,0,1,0
190098,UNIVERSITY HEALTH SHREVEPORT,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
192012,,2017,2016.0,non_profit,for_profit,1.0,4,0,0,1
192023,,2018,2017.0,non_profit,for_profit,2.0,4,0,0,1
192051,,2012,2011.0,for_profit,government,4.0,10,0,0,1
192051,,2013,2012.0,government,for_profit,10.0,4,0,0,1
194007,,2013,2012.0,government,for_profit,10.0,6,0,0,1
200041,INLAND HOSPITAL,2014,2013.0,for_profit,non_profit,6.0,2,0,0,1
201304,MOUNT DESERT ISLAND HOSPITAL,2013,2012.0,non_profit,for_profit,2.0,6,0,0,1
201304,MOUNT DESERT ISLAND HOSPITAL,2015,2014.0,for_profit,non_profit,6.0,2,0,0,1
210001,ASERACARE HOME HEALTH,2012,2011.0,non_profit,for_profit,2.0,6,0,0,1
210001,MERITUS MEDICAL CENTER,2016,2015.0,for_profit,non_profit,6.0,2,0,0,1
210058,JAMES LAWRENCE KERNAN HOSPITAL INC,2012,2011.0,government,non_profit,10.0,2,0,1,0
210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
213029,,2013,2012.0,for_profit,non_profit,4.0,1,0,0,1
214000,,2015,2014.0,for_profit,non_profit,4.0,2,0,0,1
220008,STURDY MEMORIAL HOSPITAL,2017,2016.0,non_profit,for_profit,2.0,5,0,0,1
220008,STURDY MEMORIAL HOSPITAL,2018,2017.0,for_profit,non_profit,5.0,2,0,0,1
220049,MARLBOROUGH HOSPITAL,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
