fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,651390,334009,,04/01/2017,03/31/2018,10,,54555607.0,7665.0,,,97.0,180.0,186.0,
2017,651416,364047,,10/01/2016,09/30/2017,4,23133066.0,20865004.0,30660.0,,,29644.0,,1328.0,17419.477409638555
2017,651417,364050,,01/01/2017,12/31/2017,6,6886253.0,6852293.0,18980.0,,,4414.0,30.0,266.0,25888.169172932332
2017,651453,054111,,02/01/2017,01/31/2018,4,33477993.0,20801648.0,38690.0,,,7207.0,4720.0,5834.0,5738.428693863559
2017,651466,171307,,07/01/2017,06/30/2018,13,6130237.0,8245537.0,5475.0,,,749.0,22.0,126.0,48652.6746031746
2017,651469,234026,,10/01/2016,09/30/2017,10,,60700295.0,66795.0,,,2070.0,8008.0,222.0,
2017,651476,313302,,01/01/2017,12/31/2017,4,,15253432.0,6570.0,,,,56.0,94.0,
2017,651521,193078,,01/01/2017,12/31/2017,6,11176016.0,10966885.0,9855.0,,,2846.0,15.0,279.0,40057.40501792115
2017,651524,231316,,10/01/2016,09/30/2017,2,30005146.0,32060886.0,9125.0,24222.24,,1089.0,22.0,356.0,84284.11797752809
2017,651528,250128,,01/01/2017,04/30/2017,4,11301557.0,12238449.0,10800.0,,216944.0,911.0,1436.0,821.0,13765.599269183922
2017,651532,371335,,10/01/2016,09/30/2017,4,4640832.0,6412845.0,9125.0,16512.0,,2514.0,87.0,229.0,20265.64192139738
2017,651536,442014,,12/01/2016,11/30/2017,4,20134897.0,19335838.0,14235.0,,,6223.0,,360.0,55930.26944444444
2017,651541,451309,,10/01/2016,09/30/2017,11,6714826.0,13099946.0,4015.0,2317.0,,371.0,,37.0,181481.7837837838
2017,651542,451334,,06/01/2017,05/31/2018,11,4741162.0,8386388.0,5475.0,5795.0,,748.0,,79.0,60014.70886075949
2017,651548,673048,,01/01/2017,12/31/2017,4,25215760.0,19121492.0,24090.0,,,10576.0,,1282.0,19669.079563182528
2017,651590,371323,,10/01/2016,09/30/2017,12,15460961.0,18606803.0,9125.0,37731.0,,1348.0,359.0,633.0,24424.89889415482
2017,651596,454018,,01/01/2017,12/31/2017,4,16898166.0,13987906.0,35040.0,,,6443.0,508.0,2226.0,7591.2695417789755
