fiscal_year,PRVDR_NUM,PRVDR_CTRL_TYPE_CD,total_operating_costs,total_discharges,cost_per_discharge,fac_name,hrrcode,merger_year,treated,years_to_merger
2011,521328,9,22773871.0,483.0,47150.87163561077,RUSK COUNTY MEM HSPTL,450.0,2018.0,1,-7.0
2011,281307,9,18171937.0,176.0,103249.64204545454,SAUNDERS MEDICAL CENTER,278.0,2015.0,1,-4.0
2011,331304,2,15344051.0,364.0,42153.98626373626,MARGARETVILLE MEMORIAL HOSPITAL,295.0,2016.0,1,-5.0
2011,171360,9,6014872.0,208.0,28917.653846153848,LINCOLN COUNTY HOSPITAL,201.0,,0,
2011,231322,2,30709894.0,912.0,33673.129385964916,CHARLEVOIX AREA HOSPITAL,243.0,2015.0,1,-4.0
2011,261328,2,14193177.0,741.0,19154.085020242914,NORTHWEST MEDICAL CENTER,268.0,2019.0,1,-8.0
2011,271320,2,27126296.0,1056.0,25687.780303030304,ST JOHN'S LUTHERAN HOSPITAL,276.0,,0,
2011,271303,11,3660003.0,56.0,65357.19642857143,GRANITE COUNTY MEDICAL CENTER,276.0,2016.0,1,-5.0
2011,271311,2,2866024.0,53.0,54075.92452830189,BIG SANDY MEDICAL CENTER,275.0,,0,
2011,21301,12,11307897.0,208.0,54364.88942307692,PROVIDENCE VALDEZ MEDICAL CENTER,10.0,2016.0,1,-5.0
2011,431339,2,12500643.0,499.0,25051.388777555112,COTEAU DES PRAIRIES HOSPITAL,322.0,2018.0,1,-7.0
2011,192046,4,12652675.0,446.0,28369.2264573991,,,,0,
2011,161362,2,22115613.0,933.0,23703.765273311896,CHEROKEE REGIONAL MEDICAL CENTER,196.0,2013.0,1,-2.0
2011,371316,4,5159931.0,435.0,11861.910344827586,STROUD REGIONAL MEDICAL CENTER,339.0,2016.0,1,-5.0
2011,371324,9,2831895.0,216.0,13110.625,HARPER COUNTY COMMUNITY HOSPITAL,339.0,,0,
2011,361319,2,27459602.0,1057.0,25978.809839167458,SELBY GENERAL HOSPITAL,329.0,2015.0,1,-4.0
2011,314021,4,28536414.0,2652.0,10760.337104072398,,,,0,
2011,142010,5,75602840.0,1334.0,56673.793103448275,,,,0,
2011,41327,2,19401372.0,1243.0,15608.50522928399,BRADLEY COUNTY MEDICAL CENTER,19.0,,0,
2011,371314,4,4977221.0,315.0,15800.701587301588,PHYSICIANS' HOSPITAL IN ANADARKO,336.0,2016.0,1,-5.0
2011,381318,1,62952381.0,2017.0,31210.89786812097,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,344.0,2016.0,1,-5.0
2011,314027,9,38774114.0,502.0,77239.27091633466,,,,0,
2011,210006,2,89753000.0,5654.0,15874.248319773613,HARFORD MEMORIAL HOSPITAL,223.0,2013.0,1,-2.0
2011,181315,2,15327238.0,1169.0,13111.409751924724,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,204.0,2014.0,1,-3.0
2011,361303,2,17592575.0,216.0,81447.10648148147,LODI COMMUNITY HOSPITAL,328.0,2015.0,1,-4.0
2011,191300,11,9207707.0,227.0,40562.5859030837,ST HELENA PARISH HOSPITAL CAH,210.0,,0,
2011,451348,11,8277493.0,342.0,24203.19590643275,HEART OF TEXAS MEMORIAL HOSPITAL,411.0,,0,
2011,10100,9,135442030.0,8987.0,15070.883498386558,THOMAS HOSPITAL,6.0,,0,
2011,352004,4,11914699.0,262.0,45475.95038167939,,,,0,
2011,384012,6,29196630.0,2276.0,12828.04481546573,,,,0,
2011,171349,2,13116034.0,690.0,19008.74492753623,CLOUD COUNTY HEALTH CENTER,201.0,2016.0,1,-5.0
2011,112003,2,127907738.0,966.0,132409.66666666666,,,,0,
2011,161358,9,18812566.0,536.0,35098.07089552239,WAYNE COUNTY HOSPITAL,192.0,2018.0,1,-7.0
2011,281312,8,5101875.0,154.0,33129.05844155844,GENOA COMMUNITY HOSPITAL,278.0,2018.0,1,-7.0
2011,451330,13,15164310.0,831.0,18248.26714801444,MEDINA REGIONAL HOSPITAL,412.0,,0,
2011,171315,2,10709070.0,234.0,45765.256410256414,NEMAHA VALLEY COMMUNITY HOSPITAL,200.0,,0,
2011,191322,9,8021390.0,505.0,15883.940594059406,ABROM KAPLAN MEMORIAL HOSPITAL,213.0,,0,
2011,451333,11,5430161.0,69.0,78697.98550724638,MARTIN COUNTY HOSPITAL DISTRICT,406.0,,0,
2011,371334,13,3701495.0,311.0,11901.913183279745,CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,336.0,2016.0,1,-5.0
2011,191315,11,18729164.0,880.0,21283.140909090907,HARDTNER MEDICAL CENTER,209.0,,0,
2011,161337,9,10653723.0,364.0,29268.46978021978,VAN BUREN COUNTY HOSPITAL,194.0,2018.0,1,-7.0
2011,141318,1,26267517.0,410.0,64067.11463414634,OSF HOLY FAMILY MEDICAL CENTER,170.0,,0,
2011,521303,2,13499399.0,362.0,37291.15745856354,"WILD ROSE COM MEM HOSPITAL, INC",452.0,2014.0,1,-3.0
2011,21302,1,17652805.0,91.0,193986.86813186813,PROVIDENCE SEWARD HOSPITAL,10.0,2016.0,1,-5.0
2011,351314,2,4801769.0,107.0,44876.34579439253,JACOBSON MEMORIAL HOSPITAL & CARE CENTER,321.0,,0,
2011,524038,1,16146354.0,1906.0,8471.329485834207,,,,0,
2011,670034,2,199042650.0,4918.0,40472.275315168765,SCOTT & WHITE HOSPITAL-ROUND ROCK,385.0,2013.0,1,-2.0
2011,261303,2,10859072.0,524.0,20723.419847328245,COMMUNITY HOSPITAL ASSOCIATION,278.0,,0,
